id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
7,79E+12;Vino Tinto Vainilla 1 Dada 750 Cc;DADA;750.0 cc;Vino;Vino   Tinto;Vino   Tinto   Vainilla;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Tinto Dada 3 Finca Las Moras 750 Ml;FINCA LAS MORAS;750.0 ml;Vino;Vino   Tinto;Vino   Tinto   Dada;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Espumante Blanco Frizze Classic 750 Ml;FRIZEE;750.0 ml;Vino;Vino   Espumante;Vino   Espumante   Blanco;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Tinto Varietal Termidor 1 Lt;TERMIDOR;1.0 lt;Vino;Vino   Tinto;Vino   Tinto   Varietal;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Tinto Cabernet Dada Art 750 Cc;DADA;750.0 cc;Vino;Vino   Tinto;Vino   Tinto   Cabernet;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Tinto Malbec Dada Art 750 Cc;DADA;750.0 cc;Vino;Vino   Tinto;Vino   Tinto   Malbec;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vodka Hiram Walker 1 Lt;HIRAM WALKER;1.0 lt;Vodka;Vodka   Hiram;Vodka   Hiram   Walker;"Bebidas ""blancas"""
7,79E+12;Margarina Clasica Danica 200 Gr;D�NICA;200.0 gr;Margarina;Margarina   Clasica;Margarina   Clasica   Danica;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Clasicas Doypack Castell 180 Gr;CASTELL;180.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Clasicas;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Descarozadas en Doypack Castell 150 Gr;CASTELL;150.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Descarozadas;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Rellenas en Doy Pack Castell 180 Gr;CASTELL;180.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Rellenas;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Clasicas Doy Pack Castell 100 Gr;CASTELL;100.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Clasicas;Almacen no incluidos en otra categoría
7,79E+12;Vino Blanco Chenin Dulce Natural Santa Julia 750 Ml;SANTA JULIA;750.0 ml;Vino;Vino   Blanco;Vino   Blanco   Chenin;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Tinto Malbec Santa Julia 750 Cc;SANTA JULIA;750.0 cc;Vino;Vino   Tinto;Vino   Tinto   Malbec;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Gaseosa Pepsi 500 Cc;PEPSI;500.0 cc;Gaseosa;Gaseosa   Pepsi;Gaseosa   Pepsi   500;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Pepsi 1.5 Lt;PEPSI;1.5 lt;Gaseosa;Gaseosa   Pepsi;Gaseosa   Pepsi   1.5;Bebidas sin alcohol (no agua)
7,79E+12;Gaseosa Cola Pepsi Light 1.5 Lt;PEPSI;1.5 lt;Gaseosa;Gaseosa   Cola;Gaseosa   Cola   Pepsi;Bebidas sin alcohol (no agua)
